IMAGE\LABEL,airplane,bare-soil,buildings,cars,chaparral,court,dock,field,grass,mobile-home,pavement,sand,sea,ship,tanks,trees,water
airport_36,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0
airport_37,0,1,1,1,1,0,0,0,1,0,1,0,0,0,0,1,0
airport_38,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0
airport_39,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0
airport_40,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0
airport_41,1,1,1,1,0,0,0,0,1,0,1,0,0,0,1,1,0
airport_42,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0
airport_43,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0
airport_44,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0
airport_45,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0
airport_46,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0
airport_47,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0
airport_48,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0
airport_49,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0
airport_50,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0
airport_51,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0
airport_52,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,1
airport_53,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0
airport_54,1,1,1,1,0,0,0,0,1,0,1,0,0,0,1,1,0
airport_55,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0
airport_56,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,1
airport_57,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0
airport_58,1,1,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0
airport_59,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0
airport_60,1,1,1,1,0,0,0,1,1,0,1,0,0,0,0,1,0
airport_61,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0
airport_62,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0
airport_63,1,1,1,1,1,0,0,0,1,0,1,0,0,0,0,1,0
airport_64,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0
airport_65,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0
airport_66,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0
airport_67,1,1,1,1,0,0,0,0,1,0,1,0,0,0,1,1,0
airport_68,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0
airport_69,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0
airport_70,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0
airport_71,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0
airport_72,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0
airport_73,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0
airport_74,1,1,1,1,0,0,0,1,1,0,1,0,0,0,0,1,0
airport_75,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,1
airport_76,1,1,1,1,0,0,0,1,1,0,1,0,0,0,0,1,1
airport_77,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0
airport_78,1,1,1,1,0,0,0,0,1,0,1,0,0,0,1,1,0
airport_79,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0
airport_80,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0
airport_81,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0
airport_82,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0
airport_83,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0
airport_84,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0
airport_85,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0
airport_86,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0
airport_87,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0
airport_88,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0
airport_89,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0
airport_90,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0
airport_91,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0
airport_92,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0
airport_93,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0
airport_94,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0
airport_95,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0
airport_96,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0
airport_97,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0
airport_98,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0
airport_99,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0
airport_100,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0
bareland_1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
bareland_2,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0
bareland_3,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1
bareland_4,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0
bareland_5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bareland_6,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
bareland_7,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
bareland_8,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
bareland_9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bareland_10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bareland_11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bareland_12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bareland_13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bareland_14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bareland_15,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
bareland_16,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bareland_17,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bareland_18,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
bareland_19,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bareland_20,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
bareland_21,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
bareland_22,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
bareland_23,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
bareland_24,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bareland_25,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bareland_26,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
bareland_27,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
bareland_28,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bareland_29,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bareland_30,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bareland_31,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
bareland_32,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
bareland_33,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bareland_34,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bareland_35,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bareland_36,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bareland_37,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bareland_38,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bareland_39,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bareland_40,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bareland_41,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bareland_42,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bareland_43,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bareland_44,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bareland_45,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bareland_46,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bareland_47,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bareland_48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bareland_49,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bareland_50,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bareland_51,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bareland_52,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bareland_53,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bareland_54,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bareland_55,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bareland_56,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bareland_57,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bareland_58,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bareland_59,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
bareland_60,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bareland_61,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bareland_62,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bareland_63,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bareland_64,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bareland_65,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bareland_66,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
bareland_67,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bareland_68,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
bareland_69,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bareland_70,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bareland_71,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bareland_72,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bareland_73,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bareland_74,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bareland_75,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
bareland_76,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
bareland_77,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bareland_78,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bareland_79,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bareland_80,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
bareland_81,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
bareland_82,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
bareland_83,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bareland_84,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
bareland_85,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bareland_86,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bareland_87,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
bareland_88,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bareland_89,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bareland_90,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bareland_91,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0
bareland_92,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
bareland_93,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
bareland_94,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
bareland_95,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
bareland_96,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
bareland_97,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bareland_98,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
bareland_99,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bareland_100,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0
baseballfield_1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0
baseballfield_2,0,1,1,1,0,1,0,0,1,0,1,0,0,0,0,1,0
baseballfield_3,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0
baseballfield_4,0,1,1,1,0,1,0,0,1,0,1,0,0,0,0,1,0
baseballfield_5,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0
baseballfield_6,0,1,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0
baseballfield_7,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0
baseballfield_8,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0
baseballfield_9,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0
baseballfield_10,0,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0
baseballfield_11,0,1,1,1,0,1,0,0,1,0,1,0,0,0,0,1,0
baseballfield_12,0,1,1,1,0,1,0,0,1,0,1,0,0,0,0,1,0
baseballfield_13,0,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0
baseballfield_14,0,1,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0
baseballfield_15,0,1,1,1,0,1,0,0,1,0,1,0,0,0,0,1,0
baseballfield_16,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0
baseballfield_17,0,1,1,1,0,1,0,0,1,0,1,0,0,0,0,1,0
baseballfield_18,0,1,1,1,0,1,0,0,1,0,1,0,0,0,0,1,0
baseballfield_19,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0
baseballfield_20,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0
baseballfield_21,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0
baseballfield_22,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0
baseballfield_23,0,1,1,1,0,1,0,0,1,0,1,0,0,0,0,1,0
baseballfield_24,0,1,1,1,0,1,0,0,1,0,1,0,0,0,0,1,0
baseballfield_25,0,1,1,1,0,1,0,0,1,0,1,0,0,0,0,1,0
baseballfield_26,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0
baseballfield_27,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0
baseballfield_28,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0
baseballfield_29,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0
baseballfield_30,0,1,1,1,0,1,0,0,1,0,1,0,0,0,0,1,0
baseballfield_31,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0
baseballfield_32,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
baseballfield_33,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0
baseballfield_34,0,1,1,1,0,1,0,0,1,0,1,0,0,0,0,1,0
baseballfield_35,0,1,1,1,0,1,0,0,1,0,1,0,0,0,0,1,0
baseballfield_36,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0
baseballfield_37,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0
baseballfield_38,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0
baseballfield_39,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0
baseballfield_40,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0
baseballfield_41,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0
baseballfield_42,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0
baseballfield_43,0,1,1,1,0,1,0,0,1,0,1,0,0,0,0,1,0
baseballfield_44,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0
baseballfield_45,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0
baseballfield_46,0,1,1,1,0,1,0,0,1,0,1,0,0,0,0,1,0
baseballfield_47,0,1,1,1,0,1,0,0,1,0,1,0,0,0,0,1,0
baseballfield_48,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0
baseballfield_49,0,1,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0
baseballfield_50,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0
baseballfield_51,0,1,1,1,0,1,0,0,1,0,1,0,0,0,0,1,0
baseballfield_52,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
baseballfield_53,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0
baseballfield_54,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0
baseballfield_55,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0
baseballfield_56,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0
baseballfield_57,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0
baseballfield_58,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0
baseballfield_59,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0
baseballfield_60,0,1,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0
baseballfield_61,0,1,1,1,0,1,0,0,1,0,1,0,0,0,0,1,0
baseballfield_62,0,1,1,1,0,1,0,0,1,0,1,0,0,0,0,1,0
baseballfield_63,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0
baseballfield_64,0,1,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0
baseballfield_65,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0
baseballfield_66,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0
baseballfield_67,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0
baseballfield_68,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0
baseballfield_69,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0
baseballfield_70,0,1,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0
baseballfield_71,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0
baseballfield_72,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0
baseballfield_73,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0
baseballfield_74,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0
baseballfield_75,0,1,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0
baseballfield_76,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0
baseballfield_77,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0
baseballfield_78,0,1,1,1,0,1,0,0,1,0,1,0,0,0,0,1,0
baseballfield_79,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0
baseballfield_80,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
baseballfield_81,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0
baseballfield_82,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
baseballfield_83,0,1,1,1,0,1,0,0,1,0,1,0,0,0,0,1,0
baseballfield_84,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0
baseballfield_85,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0
baseballfield_86,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0
baseballfield_87,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0
baseballfield_88,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0
baseballfield_89,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0
baseballfield_90,0,1,1,1,0,1,0,0,1,0,1,0,0,0,0,1,0
baseballfield_91,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0
baseballfield_92,0,1,1,1,0,1,0,0,1,0,1,0,0,0,0,1,0
baseballfield_93,0,1,1,1,0,1,0,0,1,0,1,0,0,0,0,1,0
baseballfield_94,0,1,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0
baseballfield_95,0,1,1,1,0,1,0,0,1,0,1,0,0,0,0,1,0
baseballfield_96,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0
baseballfield_97,0,1,1,1,0,1,0,0,1,0,1,0,0,0,0,1,0
baseballfield_98,0,1,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0
baseballfield_99,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0
baseballfield_100,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0
beach_1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
beach_2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
beach_3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
beach_4,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
beach_5,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0
beach_6,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0
beach_7,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
beach_8,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1
beach_9,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
beach_10,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0
beach_11,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
beach_12,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
beach_13,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
beach_14,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
beach_15,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
beach_16,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0
beach_17,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0
beach_18,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
beach_19,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
beach_20,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
beach_21,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
beach_22,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0
beach_23,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0
beach_24,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0
beach_25,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
beach_26,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0
beach_27,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
beach_28,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0
beach_29,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0
beach_30,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0
beach_31,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
beach_32,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0
beach_33,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
beach_34,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0
beach_35,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
beach_36,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0
beach_37,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0
beach_38,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0
beach_39,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0
beach_40,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0
beach_41,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0
beach_42,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0
beach_43,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
beach_44,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
beach_45,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0
